DATASET,ISO,OBS_MEASURE,COUNTRY,INDICATOR,FREQUENCY,SCALE,2022,Normalized ,,,,,,,,,
IMF.RES:WEO(6.0.0),JOR,OBS_VALUE,Jordan,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,9880.029,0.061491829,,,,,,,,,
IMF.RES:WEO(6.0.0),KAZ,OBS_VALUE,"Kazakhstan, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,36625.618,0.245468522,,,,,,,,,
IMF.RES:WEO(6.0.0),KEN,OBS_VALUE,Kenya,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,6302.92,0.036885727,,,,,,,,,
IMF.RES:WEO(6.0.0),KIR,OBS_VALUE,Kiribati,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,3176.912,0.015382644,,,,,,,,,
IMF.RES:WEO(6.0.0),KOR,OBS_VALUE,"Korea, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,57202.241,0.387010332,,,,,,,,,
IMF.RES:WEO(6.0.0),KOS,OBS_VALUE,"Kosovo, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,16124.553,0.104446459,,,,,,,,,
IMF.RES:WEO(6.0.0),KWT,OBS_VALUE,Kuwait,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,52295.559,0.353258406,,,,,,,,,
IMF.RES:WEO(6.0.0),KGZ,OBS_VALUE,Kyrgyz Republic,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,6752.063,0.039975277,,,,,,,,,
IMF.RES:WEO(6.0.0),LAO,OBS_VALUE,Lao People's Democratic Republic,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,8734.752,0.053613734,,,,,,,,,
IMF.RES:WEO(6.0.0),LVA,OBS_VALUE,"Latvia, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,39011.412,0.261879845,,,,,,,,,
IMF.RES:WEO(6.0.0),LBN,OBS_VALUE,Lebanon,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,11806.614,0.07474436,,,,,,,,,
IMF.RES:WEO(6.0.0),LSO,OBS_VALUE,"Lesotho, Kingdom of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,3031.657,0.014383469,,,,,,,,,
IMF.RES:WEO(6.0.0),LBR,OBS_VALUE,Liberia,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,1711.021,0.005299121,,,,,,,,,
IMF.RES:WEO(6.0.0),LBY,OBS_VALUE,Libya,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,13081.838,0.083516329,,,,,,,,,
IMF.RES:WEO(6.0.0),LTU,OBS_VALUE,"Lithuania, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,50721.155,0.342428447,,,,,,,,,
IMF.RES:WEO(6.0.0),LUX,OBS_VALUE,Luxembourg,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,146315.538,1,,,,,,,,,
IMF.RES:WEO(6.0.0),MAC,OBS_VALUE,"Macao Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,64804.38,0.43930368,,,,,,,,,
IMF.RES:WEO(6.0.0),MDG,OBS_VALUE,"Madagascar, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,1804.477,0.005941983,,,,,,,,,
IMF.RES:WEO(6.0.0),MWI,OBS_VALUE,Malawi,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,1655.638,0.004918154,,,,,,,,,
IMF.RES:WEO(6.0.0),MYS,OBS_VALUE,Malaysia,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,36516.975,0.244721192,,,,,,,,,
IMF.RES:WEO(6.0.0),MDV,OBS_VALUE,Maldives,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,30695.823,0.20467884,,,,,,,,,
IMF.RES:WEO(6.0.0),MLI,OBS_VALUE,Mali,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,2578.786,0.011268274,,,,,,,,,
IMF.RES:WEO(6.0.0),MLT,OBS_VALUE,Malta,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,64825.381,0.439448141,,,,,,,,,
IMF.RES:WEO(6.0.0),MHL,OBS_VALUE,"Marshall Islands, Republic of the","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,6147.309,0.035815315,,,,,,,,,
IMF.RES:WEO(6.0.0),MRT,OBS_VALUE,"Mauritania, Islamic Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,7295.056,0.0437104,,,,,,,,,
IMF.RES:WEO(6.0.0),MUS,OBS_VALUE,Mauritius,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,26585.693,0.176406211,,,,,,,,,
IMF.RES:WEO(6.0.0),MEX,OBS_VALUE,Mexico,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,22951.486,0.151407345,,,,,,,,,
IMF.RES:WEO(6.0.0),FSM,OBS_VALUE,"Micronesia, Federated States of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,4268.857,0.02289388,,,,,,,,,
IMF.RES:WEO(6.0.0),MDA,OBS_VALUE,"Moldova, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,16219.621,0.10510041,,,,,,,,,
IMF.RES:WEO(6.0.0),MNG,OBS_VALUE,Mongolia,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,16289.073,0.105578154,,,,,,,,,
IMF.RES:WEO(6.0.0),MNE,OBS_VALUE,Montenegro,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,30100.942,0.200586792,,,,,,,,,
IMF.RES:WEO(6.0.0),MAR,OBS_VALUE,Morocco,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,9594.767,0.059529578,,,,,,,,,
IMF.RES:WEO(6.0.0),MOZ,OBS_VALUE,"Mozambique, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,1566.912,0.004307828,,,,,,,,,
IMF.RES:WEO(6.0.0),MMR,OBS_VALUE,Myanmar,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,5425.108,0.030847462,,,,,,,,,
IMF.RES:WEO(6.0.0),NAM,OBS_VALUE,Namibia,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,10806.196,0.067862717,,,,,,,,,
